l, theta
nan,2.42983
nan,2.43596
nan,2.4421
nan,2.44823
nan,2.45437
nan,2.46051
nan,2.46664
nan,2.47278
nan,2.47891
nan,2.48505
nan,2.49118
nan,2.49732
nan,2.50346
nan,2.50959
nan,2.51573
nan,2.52186
nan,2.528
nan,2.53414
nan,2.54027
nan,2.54641
nan,2.55254
nan,2.55868
nan,2.56482
nan,2.57095
nan,2.57709
nan,2.58322
nan,2.58936
nan,2.5955
nan,2.60163
nan,2.60777
nan,2.6139
nan,2.62004
nan,2.62618
nan,2.63231
nan,2.63845
nan,2.64458
nan,2.65072
nan,2.65685
nan,2.66299
nan,2.66913
nan,2.67526
nan,2.6814
nan,2.68753
nan,2.69367
nan,2.69981
nan,2.70594
nan,2.71208
nan,2.71821
nan,2.72435
nan,2.73049
nan,2.73662
nan,2.74276
nan,2.74889
nan,2.75503
nan,2.76117
nan,2.7673
nan,2.77344
nan,2.77957
nan,2.78571
nan,2.79185
nan,2.79798
nan,2.80412
nan,2.81025
nan,2.81639
nan,2.82253
nan,2.82866
nan,2.8348
nan,2.84093
nan,2.84707
nan,2.8532
nan,2.85934
nan,2.86548
nan,2.87161
nan,2.87775
0,2.88388
1.14661e-40,2.89002
4.07391e-11,2.89616
1.07403e-05,2.90229
2.54431e-12,2.90843
4.1253e-08,2.91456
6.65409e-33,2.9207
0,2.92684
0,2.93297
0,2.93911
0,2.94524
0,2.95138
0,2.95752
0,2.96365
0,2.96979
0,2.97592
0,2.98206
0,2.98819
0,2.99433
0,3.00047
0,3.0066
0,3.01274
0,3.01887
0,3.02501
0,3.03115
0,3.03728
0,3.04342
0,3.04955
0,3.05569
0,3.06183
0,3.06796
0,3.0741
0,3.08023
0,3.08637
0,3.09251
0,3.09864
0,3.10478
0,3.11091
0,3.11705
0,3.12319
0,3.12932
0,3.13546
0,3.14159
0,3.14773
0,3.15386
0,3.16
0,3.16614
0,3.17227
0,3.17841
0,3.18454
0,3.19068
0,3.19682
0,3.20295
0,3.20909
0,3.21522
0,3.22136
0,3.2275
0,3.23363
0,3.23977
0,3.2459
0,3.25204
0,3.25818
0,3.26431
0,3.27045
0,3.27658
0,3.28272
0,3.28886
0,3.29499
0,3.30113
0,3.30726
0,3.3134
0,3.31953
0,3.32567
0,3.33181
0,3.33794
0,3.34408
0,3.35021
0,3.35635
0,3.36249
0,3.36862
0,3.37476
0,3.38089
0,3.38703
0,3.39317
0,3.3993
0,3.40544
0,3.41157
0,3.41771
0,3.42385
0,3.42998
0,3.43612
0,3.44225
0,3.44839
0,3.45452
0,3.46066
0,3.4668
0,3.47293
0,3.47907
0,3.4852
0,3.49134
0,3.49748
0,3.50361
0,3.50975
0,3.51588
0,3.52202
0,3.52816
0,3.53429
0,3.54043
0,3.54656
0,3.5527
0,3.55884
0,3.56497
0,3.57111
0,3.57724
0,3.58338
0,3.58952
0,3.59565
0,3.60179
0,3.60792
0,3.61406
0,3.62019
0,3.62633
0,3.63247
0,3.6386
0,3.64474
0,3.65087
0,3.65701
0,3.66315
0,3.66928
0,3.67542
0,3.68155
0,3.68769
0,3.69383
0,3.69996
0,3.7061
0,3.71223
0,3.71837
0,3.72451
0,3.73064
0,3.73678
0,3.74291
0,3.74905
0,3.75519
0,3.76132
0,3.76746
0,3.77359
0,3.77973
0,3.78586
0,3.792
0,3.79814
0,3.80427
0,3.81041
0,3.81654
0,3.82268
0,3.82882
0,3.83495
0,3.84109
0,3.84722
0,3.85336
0,3.8595
0,3.86563
0,3.87177
0,3.8779
0,3.88404
0,3.89018
0,3.89631
0,3.90245
0,3.90858
0,3.91472
